pitcher,player_name,Handedness,year,player_age,n,p_formatted_ip,p_k_percent,p_bb_percent,xwoba,xwobacon,z_swing_miss_percent,in_zone_percent,whiff_percent,groundballs_percent,flyballs_percent,n_fastball_formatted,N_FB,Rel_X_FB,Rel_Z_FB,Extension_FB,Max_Velo_FB,Avg_Velo_FB,Spin_FB,H_Break_FB,V_Break_FB,xwOBA_FB,SwStr_FB,CSW_FB,n_offspeed_formatted,n_ch_formatted,N_CH,Rel_X_CH,Rel_Z_CH,Extension_CH,Max_Velo_CH,Avg_Velo_CH,Spin_CH,H_Break_CH,V_Break_CH,xwOBA_CH,SwStr_CH,CSW_CH,n_breaking_formatted.x.x,n_sl_formatted,N_SL,Rel_X_SL,Rel_Z_SL,Extension_SL,Max_Velo_SL,Avg_Velo_SL,Spin_SL,H_Break_SL,V_Break_SL,xwOBA_SL,SwStr_SL,CSW_SL,n_breaking_formatted.x.y,n_cukc_formatted,N_CB,Rel_X_CB,Rel_Z_CB,Extension_CB,Max_Velo_CB,Avg_Velo_CB,Spin_CB,H_Break_CB,V_Break_CB,xwOBA_CB,SwStr_CB,CSW_CB
595918,A.J. Cole,R,2018,26,875,48.1,26.7,10,0.331,0.418,22.5,47.4,33.4,34.3,36.4,33.6,294,-2.91355,5.90945,6.2285,96.4,93.40306122,2186,-0.77855,1.28425,0.5295,0.085034014,0.302721088,2.6,2.6,23,-3.2154,5.6281,6.225,89.2,86.46086957,1974,-1.404,0.6473,0.384,0,0.086956522,63.7,43.5,380,-3.15815,5.678,6.134,87.9,84.35315789,2262.5,0.09705,0.4626,0.174,0.19160105,0.359580052,63.7,20.2,143,-3.2742,5.6792,5.927,81.4,79.59370629,2310,0.2709,0.0062,0.2825,0.146892655,0.293785311
595918,A.J. Cole,R,2017,25,937,52,19.2,11.8,0.352,0.384,19.9,48.2,24.2,45.2,24.5,54.7,512,-2.86335,6.00505,6.4995,96.1,93.11933594,2112,-0.83825,1.38985,0.298,0.06042885,0.218323587,6.5,6.5,61,-3.0695,5.7541,6.796,89.1,86.16721311,1596,-0.9193,0.7619,0.369,0.098360656,0.131147541,38.7,21,197,-3.0085,5.8026,6.443,87.9,85.20101523,2169,0.2819,0.8803,0.249,0.208121827,0.329949239,38.7,17.7,117,-3.1264,5.7862,6.224,83,79.9008547,2221,0.5337,0.2818,0.158,0.084337349,0.391566265
605156,Aaron Brooks,R,2019,29,1897,110,17,7.1,0.345,0.382,12.8,47.2,19.5,44.4,26.7,53.6,1018,-2.2453,6.3863,5.853,96.2,91.91198428,2051,-1.26505,1.03605,0.263,0.041216879,0.238469087,20.6,20.6,391,-2.4867,6.2405,5.915,88.8,84.71534527,1647,-1.2298,0.0673,0.256,0.115089514,0.237851662,25.7,22.4,417,-2.4161,6.3128,5.649,89.5,85.61223022,2470,0.1338,0.2085,0.194,0.150234742,0.274647887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607481,Aaron Bummer,L,2019,26,1039,67.2,22.9,9.2,0.256,0.279,15.7,51.4,24.3,71.4,10.3,96.2,260,2.18085,5.7867,5.756,98.8,90.38769231,2191.5,-0.1374,0.24055,0.282,0.198653199,0.296296296,0.5,0.5,6,2.4293,5.73055,5.946,91.9,89.36666667,1534,1.116,0.1481,0.063,0,0,3.1,3.1,31,2.2213,5.7029,5.473,86.3,84.93548387,2276,-1.2521,0.2558,0.27,0.151515152,0.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
650644,Aaron Civale,R,2019,24,861,57.2,20.3,7,0.278,0.313,15.6,41.9,21.3,41.5,26.2,67.9,279,-1.256,6.1104,5.467,93.3,88.36236559,2610,0.4298,0.769,0.247,0.106007067,0.240282686,6.6,6.6,57,-1.5622,5.8575,5.556,87.6,84.24912281,2098,-1.3318,0.7802,0.072,0.157894737,0.263157895,25.4,14.4,82,-1.48625,5.94935,5.1715,85.7,83.58292683,2814,0.7966,0.19905,0.154,0.129032258,0.25,25.4,11,95,-1.1761,6.1121,5.044,78.3,75.51894737,2943,1.0705,-1.4108,0.224,0.145833333,0.270833333
606167,Adalberto Mejia,L,2017,24,1742,98,19.2,9.9,0.354,0.402,16.3,47.2,23.7,40.8,23,56.4,982,1.59935,6.11475,5.776,95.6,92.43961303,2452.5,0.8105,1.50665,0.2865,0.057985758,0.236012208,18,18,313,1.4993,6.0995,6.352,87.6,83.39776358,2030,1.2622,1.1256,0.149,0.143312102,0.213375796,25.5,23.2,354,1.6144,6.0185,5.803,89.3,84.27090395,2456.5,-0.2817,0.46575,0.1795,0.189655172,0.330049261,25.5,2.2,34,1.41905,6.2698,5.7345,83.9,79.58235294,2371.5,-0.29115,0.22345,0.2505,0.15,0.325
543045,Adam Conley,L,2019,29,1061,60.2,18.7,10.2,0.337,0.381,15.9,51.6,23.2,40.1,25.9,61.7,655,3.2377,5.9438,6.12,98.7,95.31908397,2331,1.1308,1.1891,0.266,0.093129771,0.239694656,16.8,16.8,179,3.2232,5.9594,6.26,88.8,86.47541899,2036,1.3785,0.7873,0.297,0.150837989,0.217877095,21.3,13.9,135,3.4074,5.9224,6.013,89.9,86.14962963,2137,-0.1728,0.0636,0.165,0.094594595,0.202702703,21.3,7.4,65,3.3448,5.9638,5.957,86.2,82.84615385,2186,-0.3594,-0.3129,0.2485,0.113924051,0.265822785
543045,Adam Conley,L,2016,26,2242,133.1,21.2,10.6,0.322,0.363,15,47,23.5,41.2,24.4,63.3,1337,3.2182,5.9646,5.833,97,91.7170531,2355,1.311766667,1.363866667,0.284,0.062727273,0.244545455,18.6,18.6,389,3.2363,6.066,5.997,90.2,83.54061697,2065,1.513558333,0.984033333,0.2225,0.1625,0.284375,17.9,17.9,368,3.22005,6.0786,5.775,89.4,85.58994565,2122.5,0.348733333,0.605633333,0.205,0.15282392,0.225913621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543045,Adam Conley,L,2017,27,1720,102.2,15.6,9.1,0.362,0.394,16.5,50.3,22.5,42.2,24,63.8,1099,3.0128,6.1471,5.713,94,89.67515924,2304,1.1964,1.2035,0.284,0.062727273,0.244545455,18.6,18.6,320,2.9226,6.22645,5.797,86.1,82.6109375,2078.5,1.53415,0.91025,0.2225,0.1625,0.284375,17.5,17.5,301,2.9632,6.1733,5.662,88.3,84.45714286,2060,0.2692,0.4523,0.205,0.15282392,0.225913621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
543045,Adam Conley,L,2018,28,774,50.2,24.8,8.9,0.307,0.371,20.6,48.2,31.1,45.1,24.8,56.8,440,3.38735,5.8016,6.1555,98.3,95.21045455,2265,1.41995,1.0728,0.259,0.079545455,0.240909091,27,27,209,3.3523,5.9252,6.306,89,85.7708134,2041,1.4255,0.7538,0.256,0.277511962,0.33492823,16.1,16.1,125,3.4962,5.8778,6.204,93.3,88.1312,2162,-0.065,0.5782,0.348,0.16,0.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
